class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label,described_by_source_value,described_by_source_label,identifier_value
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,instance_of,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,contributor,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,contributor,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YJP9QUN4Mbfw,Vittoria Colonna,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,part_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fCjbG5YBLddB,De diversi autori il quarto libro de madrigali a quattro voci,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,text,,,,,,,,,,"Oh viver mio noioso oh adversa sorte,
Cerco l'oscurità fuggo la luce,
Bramo la morte,
Quel ch' agli occhi altrui noce a me riluce,
Perché chiudendo lor s'apron le porte,
Alla cagion ch'al mio sol mi conduce.",,,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,language,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,,,,
MusicComposition,['O viver mio noioso o adversa sorte'],Oh viver mio noioso oh adversa sorte (Anonymous),Oh viver mio noioso oh adversa sorte (Anonymous).md,Oh viver mio noioso oh adversa sorte (Anonymous),UorM7Kp6zgTA,553131894847774123505,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKwdk5uSxc8v,juxtaposition,,,,,,,,,
