class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jQTnqJe6SNWq,Vittoria Aleotti,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dZAxHiTJuqCF,Annibale Pocaterra,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GjSah2sjQ3Hy,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,based_on,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jNSpt5G7gvPx,Dicesti anima mia,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,text,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,language,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,subject,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,poetic_type,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,depicts,,,,,,,,,,,,,,,,,
MusicComposition,Dicesti anima mia (Aleotti),Dicesti anima mia (Aleotti).md,Dicesti anima mia (Aleotti),4vcnevmGKmha,60318457796988777920,metre,,,,,,,,,,,,,,,,,
