class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,identifier,http://www.wikidata.org/entity/Q1587522,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,described_by_source,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,member_of,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,related_to,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,notable_work,,,,,,,,,,,,,,,,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,
Agent,Don Giovanni de' Medici,,,Don Giovanni de' Medici,Don Giovanni de' Medici.md,jZoTyFnAARjr,857583638398614957246,catalog_identifier,,,,,,,,,,,,,,,,
